"Column1","Column2","Column3","Column4","Column5","Column6","Column7","Column8","Column9","Column10","Column11","Column12"
"10.661","8.8598","5.4868","4.0732","7.1018","5.2075","4.3407","4.7123","5.7395","7.1955","12.515","11.101"
"7.3476","8.3974","7.7501","5.8011","5.6029","5.5078","5.4367","5.7903","5.3542","6.0608","11.11","15.583"
"9.3311","8.3629","8.0389","7.1745","6.1967","4.2808","4.8585","7.7382","6.135","5.7724","8.9339","15.325"
"8.747","9.094","8.5149","7.8502","7.0411","5.9598","4.9113","9.4852","7.7891","6.4806","7.8981","13.405"
"5.547","7.9527","8.6685","8.3888","7.7377","8.0167","6.226","9.3301","8.9908","7.7456","9.06","12.746"
"3.9371","5.6764","7.5187","8.301","8.1873","9.5326","7.8677","9.7262","9.0801","8.581","10.319","14.032"
"5.4007","4.8584","5.967","7.3088","8.0049","8.6025","8.9528","10.468","9.9672","9.1513","10.25","14.964"
"6.1299","5.6717","5.4729","6.2183","7.2072","6.9685","7.9972","9.1732","9.8723","9.7215","10.328","15.216"
"5.6399","5.6929","5.6479","5.7951","6.4073","7.9246","7.5474","9.6519","9.3519","9.6277","10.527","15.504"
"5.5731","5.7384","5.6883","5.71","5.9795","7.7337","7.9679","12.798","10.373","9.6375","10.222","15.614"
"6.5132","5.6517","5.6586","5.6979","5.8017","6.8168","7.3771","12.832","12.492","10.809","10.655","15.414"
"7.699","6.8318","5.9779","5.7149","5.7277","7.5618","7.2123","10.481","11.69","11.778","13.115","16.746"
"6.8351","7.0896","6.674","6.1098","5.8156","7.3942","7.539","12.34","11.287","11.488","14.054","19.468"
"6.7976","6.8601","6.869","6.5578","6.1499","6.6259","7.1256","13.266","12.567","11.727","12.721","19.876"
"7.3725","6.9698","6.8707","6.7559","6.4839","6.3517","6.7703","12.601","12.644","12.35","13.628","19.394"
"7.3611","7.3296","7.0531","6.871","6.691","6.42","6.4115","12.367","12.705","12.562","14.472","20.885"
"8.0533","7.3348","7.213","7.0501","6.8599","7.1914","6.6771","10.477","11.969","12.5","13.25","20.774"
"9.3658","8.3636","7.5634","7.2197","7.0268","7.7424","7.1627","9.8271","10.603","11.732","13.381","20.09"
"9.188","8.9496","8.2977","7.6629","7.2643","8.2603","7.7047","10.515","10.373","10.876","13.795","20.374"
"8.5902","8.9972","8.7642","8.2309","7.693","8.5293","8.1628","11.73","10.667","10.598","12.76","20.295"
"6.9354","8.3079","8.7618","8.609","8.1703","8.1775","8.3607","13.867","12.043","10.999","11.427","18.82"
"5.3892","6.8772","8.0612","8.5435","8.4669","7.5591","8.0173","14.916","13.604","12.156","13.07","18.038"
"6.1808","5.9343","6.9373","7.9009","8.3556","8.2095","7.7887","13.517","14.284","13.391","15.052","20.373"
"8.331","6.7969","6.4632","7.0676","7.8033","8.5114","8.3369","11.981","13.071","13.653","14.46","21.53"
"8.8758","8.0839","7.0885","6.8181","7.2076","7.3772","8.0839","10.911","12.307","13.047","14.567","21.51"
"9.2293","8.5654","7.8928","7.2488","7.0589","7.9755","7.6073","9.4622","10.712","12.113","14.846","22.028"
"10.049","9.3341","8.5429","7.8493","7.3566","8.7017","8.2849","11.071","10.286","10.974","15.494","22.164"
"8.6797","9.5739","9.2014","8.5061","7.8664","9.1142","8.4495","13.079","11.443","10.816","15.017","23.253"
"6.5932","8.263","9.1108","8.996","8.4505","9.4752","9.2738","12.433","12.602","11.641","14.919","21.967"
"6.124","6.9664","8.1404","8.808","8.7911","8.1138","8.8869","11.994","11.989","12.103","18.595","23.554"
"7.884","6.7295","7.2156","8.0766","8.6013","8.9046","8.4625","11.955","12.361","12.13","18.862","24.707"
"8.5568","8.0739","7.301","7.466","8.0501","10.257","9.2481","11.099","11.511","12.059","15.805","24.982"
"7.8873","7.8932","7.8007","7.5455","7.6669","9.9106","9.9024","13.576","11.93","11.715","15.012","24.133"
"11.127","8.665","7.9625","7.7372","7.65","8.6385","9.5446","16.032","13.764","12.354","14.231","22.791"
"12.642","11.151","9.1657","8.1551","7.7924","7.5354","8.6003","16.175","15.524","13.855","13.754","21.557"
"9.0604","11.22","10.664","9.3119","8.3398","8.6379","7.9735","14.808","15.444","14.993","15.288","21.348"
"7.4238","8.8869","10.336","10.212","9.292","10.629","9.2014","15.818","15.135","15.137","16.996","23.401"
"7.218","8.2295","9.1498","9.9119","9.8535","11.932","10.346","19.872","16.602","15.434","16.51","24.578"
"5.1684","6.804","8.1847","9.1597","9.6788","12.788","11.867","19.18","19.337","17.12","17.98","24.585"
"4.4979","5.5621","6.8924","8.1484","9.062","11.084","12.008","15.086","17.529","18.194","21.975","24.988"
"6.8829","5.143","5.7858","6.989","8.1298","9.5771","10.881","15.008","15.963","17.215","22.961","25.378"
"10.45","7.6755","6.0261","6.1526","7.0977","8.8895","9.8212","14.208","15.158","16.164","22.998","26.048"
"11.549","9.7013","7.7497","6.5572","6.5309","8.2446","9.0358","14.012","14.35","15.252","22.816","26.805"
"10.492","10.99","9.4906","7.8513","6.9016","7.8261","8.3741","13.519","14.191","14.623","22.965","27.146"
"9.373","9.8622","10.169","9.2187","7.9467","8.2773","8.0797","13.169","13.389","14.104","22.941","26.761"
"9.9381","10.054","9.9766","9.7535","8.9718","9.0932","8.4965","14.4","13.716","13.678","23.22","26.858"
"8.7487","9.4582","9.8995","9.9034","9.5309","10.475","9.1434","13.667","14.086","13.862","23.87","26.802"
"9.2376","9.1192","9.4693","9.7733","9.7515","12.017","10.609","11.771","13.248","13.822","23.736","26.613"
"7.8584","9.073","9.2809","9.5039","9.6829","10.927","11.371","11.775","12.052","13.05","22.044","26.52"
"8.0694","7.7934","8.7324","9.2524","9.5048","9.329","10.475","14.91","12.644","12.446","19.481","26.477"
"10.333","9.0248","8.3958","8.7291","9.1867","9.7732","9.7533","16.231","14.915","13.262","16.706","26.483"
"9.2621","9.547","9.0477","8.7051","8.8437","9.748","9.9481","15.748","15.381","14.543","16.142","25.817"
"8.8307","9.1596","9.2657","9.0258","8.8509","8.8356","9.4493","16.564","15.975","15.237","15.638","24.538"
"8.999","9.0059","9.1327","9.1445","9.0134","8.3656","8.9799","14.96","16.068","15.823","16.371","23.939"
"8.5235","8.9378","9.0473","9.1081","9.0905","7.5079","8.3032","13.361","14.66","15.597","19.359","24.678"
"7.9818","8.428","8.8352","9.0239","9.0826","7.2168","7.6568","12.384","13.709","14.698","22.197","25.488"
"9.7162","8.4384","8.4948","8.7921","8.9843","8.2284","7.5476","11.628","12.389","13.659","21.352","26.318"
"13.055","10.282","8.913","8.6487","8.7937","8.3227","8.2841","11.47","12.068","12.715","18.716","26.297"
"12.788","12.447","10.536","9.2503","8.8222","7.8126","7.9194","12.33","11.533","12.093","16.784","26.297"
"12.483","12.044","11.693","10.517","9.4682","9.2455","8.2988","15.181","13.09","12.099","17.789","26.226"
"12.639","12.951","12.181","11.388","10.429","11.609","9.4583","16.722","14.841","13.272","17.553","25.648"
"10.237","11.7","12.405","12.049","11.259","13.506","11.656","15.97","16.224","14.783","15.382","24.67"
"11.742","11.075","11.654","12.063","11.819","13.161","12.755","15.963","15.495","15.507","16.651","23.813"
"10.346","11.636","11.51","11.701","11.863","12.36","12.831","17.276","16.665","15.794","18.808","24.673"
"9.215","9.7849","11.064","11.536","11.716","11.846","12.269","14.521","16.219","16.36","19.462","25.042"
"12.931","10.669","10.322","10.932","11.44","11.905","12.063","14.59","14.792","15.794","19.456","25.353"
"14.831","12.748","11.164","10.713","10.993","11.698","11.87","18.66","15.736","15.256","19.545","25.927"
"17.963","14.782","12.745","11.452","10.983","10.834","11.629","22.531","18.941","16.457","21.806","26.144"
"17.353","17.452","14.967","12.893","11.67","11.159","10.905","22.643","21.594","18.964","24.792","26.251"
"11.206","15.385","16.215","14.773","13.031","13.569","11.875","19.725","21.474","20.785","29.084","26.433"
"9.4105","11.793","14.549","15.337","14.441","15.557","13.51","17.956","19.609","20.884","35.539","25.69"
"10.915","10.676","12.29","14.111","14.725","15.951","15.217","19.754","18.842","19.99","41.322","25.347"
"13.425","11.454","11.386","12.581","13.851","14.92","15.24","21.609","20.235","19.608","45.044","25.833"
"14.844","13.434","12.02","11.913","12.766","14.806","15.038","21.75","21.078","20.309","47.941","27.124"
"13.528","13.987","13.201","12.356","12.299","14.116","14.719","22.081","21.691","22.105","51.873","27.887"
"13.759","13.513","13.551","13.058","12.558","12.932","14.021","22.472","21.95","25.87","56.262","28.168"
"14.374","14.095","13.675","13.385","12.993","13.645","13.225","22.125","22.409","30.225","60.151","28.813"
"12.239","13.732","13.934","13.675","13.33","14.762","14.134","20.726","21.698","36.008","63.655","29.802"
"10.202","12.051","13.339","13.728","13.6","14.138","14.221","20.79","21.035","41.268","66.785","29.855"
"10.553","10.772","12.053","13.107","13.538","14.772","14.345","20.322","20.864","45.117","69.543","30.02"
"13.03","11.293","11.272","12.131","12.968","15.387","14.809","20.13","20.274","47.963","72.002","30.618"
"13.849","12.962","11.799","11.659","12.237","14.498","15.107","20.43","20.425","50.287","74.217","31.3"
"13.338","13.202","12.68","12.043","11.944","12.87","14.116","20.249","20.246","55.316","76.22","31.537"
"12.514","13.31","13.08","12.583","12.174","11.804","13.07","20.942","20.497","61.017","77.974","31.569"
"12.439","12.356","12.934","12.916","12.558","10.847","11.87","18.886","21.004","64.774","79.56","32.045"
"16.583","13.555","12.752","12.81","12.771","11.023","11.227","15.428","18.899","67.682","80.956","32.049"
"16.493","16.153","14.132","13.09","12.823","12.653","11.411","16.269","16.601","69.88","82.226","32.768"
"12.827","14.983","15.263","14.219","13.314","15.046","13.01","18.643","17.264","71.803","83.374","32.699"
"12.709","13.444","14.558","14.742","14.119","14.419","14.462","20.131","18.514","73.263","84.369","32.422"
"12.507","13.052","13.699","14.343","14.434","12.04","13.583","20.401","20.483","76.143","85.231","32.481"
"13.613","12.675","13.115","13.753","14.202","13.469","12.661","21.099","22.419","80.973","86.007","32.666"
"16.301","14.277","13.223","13.29","13.752","16.165","14.455","23.951","27.068","85.212","86.69","32.552"
"16.395","15.723","14.398","13.569","13.485","15.479","16.043","24.996","33.739","87.68","87.291","32.679"
"15.252","15.859","15.365","14.43","13.783","14.985","15.298","25.922","40.287","90.073","87.826","32.338"
"15.544","15.311","15.496","15.118","14.432","15.674","15.998","27.217","46.33","92.663","88.243","31.846"
"16.716","15.976","15.529","15.337","14.955","15.297","16.598","27.338","51.994","95.179","88.617","32.205"
"14.883","16.121","15.956","15.591","15.266","14.663","15.614","24.191","57.178","95.525","88.951","32.08"
"12.847","14.502","15.629","15.804","15.562","14.414","14.818","23.087","61.719","94.946","89.247","32.327"
"14.107","13.616","14.533","15.368","15.629","16.504","14.984","23.133","65.695","95.834","89.537","32.893"
"16.958","14.779","14.185","14.648","15.236","18.778","17.17","24.984","69.406","98.274","89.839","33.212"
"16.251","16.457","15.158","14.579","14.78","17.338","18.894","30.113","72.93","99.562","90.098","32.472"
"15.202","15.491","15.763","15.226","14.833","15.144","17.033","33.348","76.101","99.462","90.249","31.725"
"18.788","16.356","15.687","15.511","15.197","13.682","16.894","36.054","78.91","100.62","90.37","32.371"
"21.069","18.782","16.827","15.885","15.474","11.954","16.053","40.647","81.643","103.75","90.545","33.077"
"19.949","20.178","18.624","17.031","16.038","11.13","14.153","44.215","84.401","105.8","90.722","33.124"
"17.897","19.258","19.437","18.396","17.104","12.139","13.856","49.128","86.975","106.46","90.895","33.321"
"15.888","17.982","18.971","18.973","18.165","15.633","16.504","53.752","89.371","108.57","91.046","33.105"
"13.79","15.788","17.699","18.652","18.642","16.088","22.487","58.112","91.811","111.42","91.16","32.85"
"15.563","14.756","16.022","17.521","18.35","15.179","25.021","62.242","94.191","111.45","91.244","32.812"
"14.956","15.736","15.528","16.308","17.425","16.67","28.374","66.147","96.136","109.05","91.33","33.293"
"12.446","13.989","15.235","15.801","16.532","17.224","32.733","69.794","97.599","108.03","91.451","33.588"
"14.874","13.637","14.173","15.096","15.876","16.377","35.266","73.17","98.897","109.53","91.549","33.147"
"17.014","15.188","14.239","14.435","15.144","18.085","36.785","76.3","100.24","110.17","91.606","32.986"
"19.374","16.888","15.331","14.6","14.684","17.91","41.365","79.209","101.35","109.32","91.653","32.896"
"20.527","19.211","17.057","15.537","14.864","14.064","45.772","81.896","102.36","110.33","91.678","32.859"
"21.15","19.868","18.678","17.055","16.378","10.951","48.271","84.381","103.34","111.69","91.718","33.046"
"21.26","21.252","19.883","18.438","18.38","11.784","50.34","86.692","104.46","113.57","91.74","32.498"
"18.092","20.145","20.575","19.671","18.8","15.71","55.191","88.862","105.53","113.16","91.709","31.772"
"19.114","18.763","19.784","20.072","19.546","17.495","59.087","90.892","106.4","112.39","91.627","31.305"
"18.83","19.51","19.35","19.68","19.781","20.542","66.537","92.775","107.08","111.51","91.537","31.311"
"17.022","18.022","19.078","19.459","19.645","23.586","75.099","94.505","107.58","111.31","91.459","31.32"
"18.949","18.051","18.286","18.941","19.393","25.764","80.668","96.087","108.1","113.25","91.39","31.448"
"19.896","18.913","18.383","18.503","18.945","23.905","84.372","97.551","108.83","115.62","91.356","32.016"
"21.889","19.99","19.003","18.587","18.655","23.397","91.202","98.936","109.7","116.32","91.372","32.457"
"23.928","21.986","20.212","19.166","18.75","25.673","96.964","100.26","110.45","115.83","91.401","32.223"
