"Column1","Column2","Column3","Column4","Column5","Column6","Column7","Column8","Column9","Column10","Column11","Column12"
"10.543","8.8768","5.5277","4.0886","7.0666","5.2537","4.3521","4.6957","5.7236","7.1783","12.463","11.178"
"7.1383","8.2663","7.7818","5.8857","5.5955","5.4907","5.4866","5.7621","5.3256","6.0133","10.958","15.595"
"9.0861","8.1743","7.9457","7.2127","6.2586","4.2729","4.8391","7.6717","6.12","5.7371","8.7633","15.151"
"8.4661","8.8697","8.3619","7.7959","7.077","6.0357","4.9318","9.3428","7.753","6.4735","7.7797","13.153"
"5.2992","7.6673","8.4502","8.2637","7.7081","8.0931","6.3205","9.1819","8.9029","7.7328","8.9909","12.558"
"3.7607","5.3868","7.2208","8.0851","8.0781","9.5368","7.9687","9.6287","8.9701","8.5246","10.241","13.931"
"5.2488","4.6403","5.66","7.0064","7.7908","8.4799","8.9753","10.368","9.8883","9.084","10.148","14.859"
"5.951","5.5086","5.2372","5.908","6.9079","6.7573","7.8702","9.0331","9.7654","9.6529","10.235","15.088"
"5.4603","5.5169","5.4606","5.5444","6.1002","7.6205","7.3306","9.4463","9.1935","9.5143","10.423","15.374"
"5.3921","5.5608","5.5091","5.5023","5.7154","7.3818","7.6801","12.499","10.184","9.4864","10.08","15.451"
"6.335","5.4732","5.4772","5.5087","5.578","6.5101","7.0457","12.415","12.238","10.649","10.501","15.206"
"7.4827","6.6703","5.8152","5.535","5.5272","7.2822","6.9049","10.063","11.3","11.53","12.932","16.552"
"6.6111","6.8909","6.5169","5.956","5.6393","7.1291","7.2601","11.941","10.882","11.128","13.742","19.227"
"6.5813","6.6423","6.6803","6.4023","5.9981","6.4094","6.8589","12.836","12.186","11.355","12.329","19.444"
"7.1526","6.7561","6.6637","6.5756","6.3298","6.1726","6.5421","12.177","12.23","11.976","13.237","18.85"
"7.1297","7.1156","6.8474","6.6756","6.5185","6.2587","6.2143","11.955","12.289","12.165","14.042","20.332"
"7.8218","7.1108","7.0003","6.8508","6.6751","7.0201","6.5092","10.106","11.547","12.086","12.812","20.148"
"9.1013","8.1501","7.3573","7.0156","6.834","7.5526","6.998","9.5192","10.204","11.297","12.932","19.427"
"8.9051","8.7072","8.0956","7.4716","7.0733","8.0537","7.5302","10.225","10.039","10.467","13.309","19.695"
"8.3063","8.7268","8.5366","8.0384","7.513","8.3217","7.9758","11.437","10.371","10.245","12.284","19.578"
"6.6739","8.0164","8.4978","8.3907","7.9862","7.9769","8.166","13.532","11.771","10.704","11.022","18.098"
"5.1736","6.586","7.7595","8.2805","8.2538","7.3668","7.8128","14.528","13.309","11.899","12.746","17.42"
"5.9947","5.6859","6.6273","7.5915","8.0911","8.0036","7.5869","13.099","13.927","13.119","14.737","19.907"
"8.1163","6.6058","6.2049","6.7517","7.4903","8.241","8.1265","11.604","12.655","13.306","14.13","21.078"
"8.6198","7.8918","6.8938","6.5573","6.8938","7.0711","7.8126","10.547","11.905","12.644","14.185","21.007"
"8.9585","8.3364","7.7056","7.048","6.7979","7.6683","7.303","9.1133","10.302","11.685","14.398","21.461"
"9.7534","9.0884","8.3382","7.6654","7.1499","8.407","7.996","10.722","9.9118","10.542","14.987","21.504"
"8.3774","9.2938","8.9752","8.3181","7.6862","8.8764","8.1764","12.699","11.106","10.434","14.466","22.523"
"6.3335","7.9478","8.8314","8.7787","8.2718","9.2532","9.0513","12.043","12.252","11.308","14.433","21.169"
"5.9055","6.6736","7.8185","8.5283","8.5756","7.9032","8.6559","11.647","11.613","11.755","18.001","23.004"
"7.6723","6.4888","6.9073","7.7528","8.3221","8.6808","8.2371","11.594","12.009","11.775","17.935","24.39"
"8.3014","7.8693","7.0582","7.1576","7.7292","9.945","9.0192","10.771","11.141","11.695","14.953","24.131"
"7.6383","7.6494","7.5803","7.2955","7.3647","9.5334","9.6072","13.232","11.602","11.351","14.404","22.827"
"10.853","8.4361","7.7329","7.506","7.3901","8.2869","9.1892","15.6","13.444","12.037","13.74","21.767"
"12.289","10.923","8.9731","7.9452","7.5592","7.2448","8.2438","15.653","15.137","13.555","13.368","20.744"
"8.7061","10.897","10.454","9.1422","8.1495","8.4121","7.6682","14.274","14.956","14.627","14.95","20.721"
"7.145","8.5135","10.017","10.003","9.1315","10.437","8.9919","15.328","14.624","14.679","16.578","22.882"
"6.9594","7.9134","8.7867","9.6005","9.6405","11.746","10.178","19.41","16.152","14.965","15.981","24.013"
"4.9552","6.504","7.8347","8.8016","9.3782","12.513","11.7","18.773","18.961","16.732","17.44","23.974"
"4.3238","5.3053","6.5581","7.7753","8.7031","10.718","11.738","14.68","17.08","17.812","21.274","24.627"
"6.7214","4.9432","5.4929","6.6262","7.7413","9.17","10.508","14.574","15.506","16.76","22.055","25.095"
"10.206","7.5394","5.8295","5.844","6.7152","8.4492","9.3916","13.721","14.681","15.68","21.807","25.799"
"11.241","9.5168","7.6214","6.3611","6.2193","7.8054","8.5777","13.492","13.838","14.741","21.29","26.586"
"10.144","10.735","9.3454","7.7285","6.7026","7.4709","7.9347","12.969","13.659","14.093","21.054","26.953"
"9.0624","9.5287","9.933","9.0879","7.8259","8.0493","7.7286","12.648","12.834","13.55","20.616","26.591"
"9.621","9.7411","9.6792","9.5392","8.8426","8.9459","8.267","13.918","13.204","13.126","20.446","26.708"
"8.4509","9.1317","9.5848","9.6331","9.3384","10.333","8.9884","13.243","13.617","13.355","20.665","26.67"
"8.9504","8.8101","9.1409","9.4642","9.4996","11.806","10.48","11.437","12.813","13.347","20.147","26.496"
"7.5725","8.7743","8.9676","9.1799","9.3849","10.635","11.175","11.511","11.684","12.601","18.088","26.417"
"7.8246","7.4891","8.4078","8.9284","9.1865","9.0179","10.184","14.596","12.356","12.065","15.364","26.096"
"10.048","8.7815","8.1014","8.3961","8.8524","9.451","9.4334","15.791","14.621","12.97","14.171","23.556"
"8.9605","9.2768","8.7966","8.4156","8.5141","9.3923","9.6194","15.268","14.983","14.245","15.029","22.538"
"8.542","8.8633","8.9958","8.7651","8.5602","8.5028","9.0946","16.046","15.527","14.872","15.021","22.56"
"8.7152","8.7139","8.8428","8.8726","8.744","8.0724","8.6412","14.422","15.564","15.4","15.899","22.729"
"8.2418","8.6491","8.756","8.8224","8.8162","7.251","7.9904","12.866","14.113","15.095","18.698","24.037"
"7.7165","8.1367","8.5386","8.7314","8.7984","6.9814","7.3743","11.92","13.185","14.152","21.131","25.094"
"9.4501","8.1696","8.1991","8.4902","8.6892","7.9897","7.2968","11.214","11.89","13.108","19.842","25.971"
"12.729","10.045","8.6586","8.3585","8.4908","8.0495","8.0463","11.086","11.628","12.197","16.756","25.966"
"12.394","12.173","10.326","9.0153","8.5441","7.5492","7.6503","11.967","11.13","11.622","15.264","24.678"
"12.103","11.683","11.433","10.319","9.2503","9.0043","8.0496","14.762","12.736","11.694","16.547","24.171"
"12.23","12.589","11.868","11.147","10.235","11.415","9.2565","16.27","14.471","12.926","16.044","24.529"
"9.8692","11.284","12.044","11.764","11.04","13.295","11.509","15.533","15.829","14.45","14.459","23.212"
"11.393","10.69","11.246","11.708","11.548","12.904","12.573","15.601","15.081","15.133","16.087","22.617"
"9.9787","11.278","11.13","11.309","11.521","12.052","12.585","16.879","16.308","15.423","18.07","24.083"
"8.9078","9.3958","10.67","11.149","11.34","11.498","11.956","14.106","15.812","15.997","18.502","24.7"
"12.594","10.357","9.9403","10.523","11.042","11.526","11.714","14.18","14.351","15.372","18.27","25.078"
"14.427","12.446","10.857","10.343","10.585","11.288","11.487","18.188","15.329","14.822","18.067","25.684"
"17.494","14.442","12.466","11.154","10.624","10.425","11.218","21.929","18.528","16.075","20.057","25.931"
"16.801","17.054","14.69","12.643","11.383","10.825","10.501","21.932","21.075","18.592","22.872","26.063"
"10.721","14.842","15.833","14.525","12.808","13.301","11.563","19.033","20.816","20.309","27.038","26.267"
"9.0415","11.247","14.008","14.958","14.199","15.337","13.282","17.389","18.922","20.076","33.467","25.498"
"10.58","10.242","11.729","13.578","14.346","15.665","15.02","19.287","18.256","18.978","39.064","25.106"
"13.064","11.1","10.919","12.021","13.332","14.505","14.943","21.122","19.762","18.912","42.197","25.596"
"14.419","13.1","11.657","11.434","12.217","14.264","14.618","21.191","20.592","19.778","44.758","26.915"
"13.086","13.594","12.867","11.98","11.82","13.535","14.191","21.431","21.143","21.39","48.757","27.703"
"13.333","13.083","13.169","12.713","12.168","12.419","13.458","21.749","21.317","24.553","53.657","28.006"
"13.929","13.676","13.27","13.012","12.634","13.23","12.711","21.354","21.709","28.288","57.998","28.67"
"11.806","13.286","13.517","13.286","12.964","14.357","13.715","20.004","20.943","33.47","61.902","29.677"
