"Column1","Column2","Column3","Column4","Column5","Column6","Column7","Column8","Column9","Column10","Column11","Column12"
"3.6201","2.84","2.0782","4.7134","4.8052","2.4882","1.4224","4.1699","2.032","0.48909","2.8039","5.4663"
"3.8428","3.3796","2.7625","3.1956","4.1581","3.9632","2.7484","5.4855","3.8029","2.0634","2.0593","4.1773"
"4.236","3.825","3.3024","3.0783","3.4515","3.7048","3.4734","5.1713","5.0785","3.6591","3.0819","3.712"
"3.5716","4.014","3.7427","3.3668","3.2828","3.4616","3.5504","3.5911","4.515","4.495","4.4247","5.1046"
"2.6594","3.3432","3.743","3.6534","3.4368","3.1261","3.4137","4.1494","3.9556","4.2843","4.4353","6.1328"
"3.4626","3.0249","3.328","3.5889","3.5811","2.6454","3.0766","5.1908","4.4698","4.185","4.2719","6.4009"
"4.6889","3.7528","3.3116","3.3704","3.5131","3.269","2.8314","4.8544","4.9414","4.5531","4.847","6.5256"
"5.1099","4.5187","3.8494","3.4776","3.4271","3.76","3.4565","5.2585","4.7925","4.7493","5.3719","7.4343"
"4.4549","4.8294","4.4291","3.9054","3.5782","3.0011","3.3776","7.0992","5.7083","4.9921","5.0003","7.6284"
"3.0131","4.1182","4.5247","4.3224","3.9325","2.2893","2.9746","6.5951","6.718","5.8337","5.2271","7.5934"
"2.2012","3.1008","3.9445","4.3086","4.2156","1.7707","2.2714","4.8574","5.9896","6.2663","6.6197","8.2203"
"1.9224","2.4099","3.1602","3.831","4.1522","2.3093","2.0749","3.8123","4.9864","5.7819","7.7557","10.073"
"2.6262","2.1848","2.555","3.1924","3.7497","3.1908","2.4779","2.5964","3.8171","4.9147","6.851","10.843"
"3.0188","2.7735","2.4846","2.7108","3.219","3.3129","3.0981","3.1795","2.9876","3.8787","5.7989","9.8396"
"3.0027","2.771","2.688","2.6371","2.8449","3.2759","3.1167","5.3265","3.7795","3.4487","4.977","8.854"
"3.4146","3.1763","2.8526","2.7043","2.7247","2.6278","3.2427","6.2039","5.2066","4.1139","4.1235","7.4296"
"2.9224","3.156","3.0895","2.8859","2.7608","0.90225","2.2191","5.7118","5.7234","5.0446","4.9489","6.8127"
"3.0199","2.985","3.07","3.0246","2.8931","1.6003","1.3492","6.6414","5.7752","5.4733","6.336","7.9194"
"3.6367","3.1769","3.0479","3.0374","2.9866","2.7783","2.0607","7.4845","6.882","5.9956","7.5867","9.4359"
"3.3658","3.5393","3.2667","3.0967","3.0293","2.9197","2.485","5.4236","6.7307","6.6388","8.0389","11.207"
"1.7893","2.9642","3.3315","3.2605","3.1248","3.7901","3.0369","4.9635","5.4233","6.2836","7.3434","11.335"
"1.4139","1.9","2.7457","3.1651","3.2114","3.4663","3.5963","5.3385","5.4929","5.6991","7.2821","11.072"
"1.7024","1.7897","2.1232","2.6733","3.0447","3.1613","3.2229","4.1907","4.943","5.4426","6.8148","10.9"
"1.7009","1.6266","1.8547","2.2272","2.6566","3.178","3.3663","4.573","4.4738","4.9314","6.0296","9.9987"
"2.6005","1.9459","1.7663","1.9349","2.2773","2.0408","2.853","4.7689","4.733","4.7003","5.5253","9.2044"
"3.2262","2.6005","2.0792","1.8973","2.0223","2.0694","2.2263","3.9076","4.4748","4.6822","4.9895","8.3129"
"2.375","2.916","2.5715","2.1673","2.0072","2.2259","2.2717","5.3475","4.2492","4.4045","4.7127","7.6442"
"0.81545","2.0005","2.5691","2.4838","2.2207","2.0389","2.1166","6.9888","5.7769","4.727","5.3325","7.3467"
"1.6125","1.2456","1.8959","2.3529","2.3858","2.6806","2.2301","5.7131","6.2172","5.6481","6.4476","8.4466"
"3.2038","2.1108","1.6729","1.9235","2.2298","2.7123","2.6492","4.5138","5.4893","5.8345","6.3475","9.2516"
"3.4333","2.911","2.2331","1.9098","1.9915","2.4214","2.509","3.593","4.5762","5.3337","6.4178","9.3501"
