"Column1","Column2","Column3","Column4","Column5","Column6","Column7","Column8","Column9","Column10","Column11","Column12"
"10.57","8.8731","5.5184","4.0851","7.0745","5.2433","4.3494","4.6995","5.7272","7.1822","12.475","11.161"
"7.185","8.2963","7.7752","5.8667","5.5969","5.4948","5.4754","5.7683","5.332","6.024","10.992","15.593"
"9.1405","8.2168","7.9675","7.2049","6.2446","4.2745","4.8437","7.6867","6.1233","5.7449","8.8013","15.191"
"8.5284","8.9199","8.3968","7.8093","7.0698","6.0187","4.927","9.3747","7.7613","6.475","7.8058","13.21"
"5.3539","7.7309","8.4995","8.2928","7.7161","8.0771","6.2994","9.2146","8.9228","7.7359","9.006","12.599"
"3.7994","5.4508","7.2875","8.1344","8.104","9.5378","7.9472","9.6501","8.9945","8.5376","10.259","13.953"
"5.2822","4.6881","5.728","7.0745","7.8401","8.5093","8.9724","10.39","9.9058","9.0991","10.171","14.883"
"5.9906","5.5443","5.2887","5.9769","6.9756","6.8061","7.901","9.0656","9.7898","9.6684","10.256","15.117"
"5.5","5.5558","5.5015","5.5993","6.1685","7.6896","7.3811","9.4937","9.2302","9.5404","10.447","15.403"
"5.4321","5.6001","5.5485","5.5476","5.7733","7.4604","7.7459","12.567","10.228","9.5215","10.113","15.488"
"6.3744","5.5127","5.5172","5.5502","5.6268","6.5776","7.12","12.509","12.297","10.686","10.537","15.254"
"7.5307","6.706","5.851","5.5746","5.5711","7.3433","6.9728","10.156","11.388","11.588","12.975","16.597"
"6.6607","6.9351","6.5516","5.9898","5.6778","7.187","7.3211","12.03","10.972","11.21","13.814","19.284"
"6.6291","6.6906","6.7223","6.4367","6.0314","6.4565","6.9172","12.931","12.271","11.438","12.418","19.544"
"7.2012","6.8034","6.7097","6.6158","6.3639","6.2117","6.5918","12.27","12.322","12.059","13.325","18.974"
"7.1809","7.163","6.893","6.719","6.5569","6.2942","6.2573","12.046","12.381","12.253","14.138","20.457"
"7.873","7.1604","7.0475","6.895","6.7162","7.0582","6.546","10.188","11.64","12.178","12.91","20.288"
"9.1599","8.1973","7.4028","7.0608","6.8768","7.5949","7.0345","9.5868","10.292","11.393","13.032","19.574"
"8.9678","8.761","8.1404","7.5139","7.1156","8.0997","7.5691","10.289","10.112","10.556","13.417","19.845"
"8.3691","8.7868","8.5872","8.0811","7.5528","8.3677","8.0174","11.502","10.436","10.322","12.389","19.736"
"6.7316","8.081","8.5565","8.4393","8.0271","8.0213","8.2092","13.606","11.831","10.768","11.111","18.257"
"5.221","6.6503","7.8265","8.3392","8.3014","7.4095","7.8582","14.614","13.374","11.956","12.817","17.555"
"6.0357","5.7404","6.6959","7.6604","8.1503","8.0497","7.6318","13.192","14.006","13.18","14.806","20.008"
"8.1638","6.6477","6.2615","6.8215","7.5602","8.3017","8.1737","11.687","12.748","13.383","14.203","21.177"
"8.6766","7.9343","6.9363","6.6144","6.9632","7.1395","7.8736","10.628","11.994","12.734","14.27","21.119"
"9.0185","8.3873","7.7469","7.0917","6.8549","7.7362","7.371","9.1909","10.393","11.78","14.498","21.588"
"9.8188","9.1429","8.3837","7.7058","7.1949","8.4714","8.0597","10.8","9.9949","10.638","15.1","21.652"
"8.4443","9.356","9.0256","8.3597","7.7256","8.928","8.2361","12.783","11.181","10.518","14.589","22.686"
"6.3908","8.0177","8.8936","8.8271","8.3113","9.3017","9.0995","12.129","12.329","11.381","14.541","21.347"
"5.9536","6.7381","7.89","8.5908","8.6238","7.9497","8.7064","11.723","11.696","11.832","17.945","23.378"
"7.719","6.5416","6.9753","7.8249","8.3847","8.7308","8.2869","11.674","12.087","11.853","17.175","25.354"
"8.358","7.9143","7.1114","7.2257","7.8007","10.015","9.0704","10.843","11.223","11.775","14.544","23.936"
"7.6933","7.7034","7.6288","7.3502","7.4313","9.6177","9.6737","13.308","11.674","11.431","14.333","22.466"
"10.913","8.4867","7.7836","7.5568","7.447","8.3646","9.2687","15.697","13.516","12.107","13.777","21.638"
"12.367","10.974","9.0155","7.9913","7.6103","7.3084","8.3227","15.769","15.224","13.621","13.428","20.756"
"8.7845","10.969","10.501","9.1795","8.191","8.4612","7.735","14.392","15.065","14.709","15.016","20.786"
"7.2064","8.5963","10.088","10.05","9.1668","10.478","9.0371","15.436","14.737","14.781","16.668","22.969"
"7.0164","7.983","8.8674","9.6704","9.6883","11.787","10.214","19.515","16.251","15.069","16.089","24.136"
"5.0021","6.57","7.912","8.8814","9.4458","12.575","11.737","18.928","19.069","16.822","17.475","24.22"
"4.3621","5.3616","6.6317","7.8579","8.7833","10.8","11.799","14.792","17.216","17.921","20.56","25.633"
"6.757","4.9869","5.5571","6.7061","7.8275","9.2611","10.592","14.679","15.629","16.889","20.425","26.27"
"10.26","7.5692","5.872","5.9114","6.7995","8.5471","9.488","13.833","14.798","15.808","19.229","26.489"
"11.31","9.5579","7.6492","6.4032","6.2871","7.9022","8.6797","13.609","13.957","14.867","17.716","26.554"
"10.221","10.792","9.3777","7.7548","6.7451","7.5479","8.0314","13.091","13.78","14.218","16.797","26.122"
"9.131","9.603","9.986","9.1169","7.8515","8.0976","7.8045","12.763","12.958","13.677","16.393","25.261"
"9.6911","9.8103","9.7456","9.5875","8.8712","8.977","8.3154","14.023","13.317","13.25","16.451","24.818"
"8.5167","9.204","9.6547","9.6937","9.3819","10.364","9.021","13.335","13.72","13.467","16.726","24.855"
"9.0138","8.8784","9.2137","9.5332","9.5563","11.854","10.508","11.509","12.908","13.451","16.153","24.931"
"7.6356","8.8402","9.0368","9.2518","9.4516","10.701","11.219","11.569","11.764","12.699","15.032","23.85"
"7.8785","7.5562","8.4795","9","9.2573","9.0876","10.25","14.666","12.419","12.148","13.908","22.605"
"10.111","8.835","8.1661","8.4697","8.9266","9.5229","9.5052","15.89","14.687","13.034","13.724","21.057"
"9.0273","9.3367","8.8518","8.4791","8.5869","9.4713","9.6928","15.375","15.072","14.311","14.921","21.428"
"8.6058","8.9289","9.0555","8.8224","8.624","8.5762","9.1735","16.162","15.627","14.954","15.035","22.139"
"8.7779","8.7784","8.907","8.9327","8.8032","8.1367","8.716","14.542","15.677","15.495","15.962","22.622"
"8.304","8.7129","8.8205","8.8857","8.8768","7.3074","8.0591","12.976","14.235","15.208","18.581","24.353"
"7.775","8.2011","8.6042","8.7962","8.8613","7.0332","7.4363","12.022","13.301","14.273","20.182","25.807"
"9.5089","8.2289","8.2644","8.557","8.7546","8.0425","7.3519","11.305","12","13.23","17.951","26.316"
"12.801","10.097","8.7146","8.4225","8.5579","8.1101","8.0989","11.171","11.724","12.311","14.924","25.191"
"12.481","12.234","10.372","9.0668","8.6053","7.6074","7.71","12.047","11.218","11.725","14.636","22.768"
"12.187","11.764","11.491","10.362","9.2978","9.0571","8.1045","14.855","12.814","11.782","16.416","23.124"
