"Column1","Column2","Column3","Column4","Column5","Column6","Column7","Column8","Column9","Column10","Column11","Column12"
"733.52","575.45","421.1","955.05","973.66","336.11","192.15","844.94","411.74","99.102","568.15","738.41"
"778.64","684.8","559.75","647.52","842.53","535.36","371.27","1111.5","770.57","418.11","417.26","564.29"
"858.33","775.05","669.16","623.74","699.37","500.46","469.2","1047.8","1029","741.43","624.48","501.44"
"723.69","813.35","758.37","682.21","665.17","467.6","479.6","727.64","914.86","910.8","896.56","689.55"
"538.87","677.42","758.44","740.27","696.39","422.29","461.14","840.78","801.51","868.12","898.7","828.45"
"701.62","612.93","674.35","727.2","725.63","357.35","415.6","1051.8","905.7","848","865.61","864.65"
"950.08","760.42","671.02","682.92","711.85","441.6","382.48","983.63","1001.2","922.58","982.12","881.5"
"1035.4","915.61","779.99","704.65","694.42","507.92","466.92","1065.5","971.08","962.33","1088.5","1004.3"
"902.68","978.57","897.45","791.34","725.04","405.4","456.27","1438.5","1156.6","1011.5","1013.2","1030.5"
"610.52","834.45","916.82","875.83","796.83","309.25","401.81","1336.3","1361.3","1182.1","1059.1","1025.7"
"446.02","628.31","799.26","873.04","854.19","239.19","306.82","984.23","1213.6","1269.7","1341.3","1110.4"
"389.53","488.32","640.35","776.25","841.34","311.94","280.28","772.46","1010.4","1171.6","1571.5","1360.7"
"532.14","442.7","517.7","646.86","759.78","431.02","334.73","526.1","773.44","995.84","1388.2","1464.7"
"611.69","561.99","503.45","549.27","652.25","447.52","418.51","644.24","605.36","785.94","1175","1329.2"
"608.42","561.47","544.65","534.34","576.46","442.52","421.01","1079.3","765.83","698.79","1008.5","1196"
"691.89","643.6","578.01","547.96","552.09","354.98","438.03","1257.1","1055","833.59","835.54","1003.6"
"592.15","639.48","626.01","584.76","559.4","121.88","299.76","1157.3","1159.7","1022.2","1002.8","920.29"
"611.91","604.84","622.05","612.85","586.21","216.17","182.26","1345.7","1170.2","1109","1283.8","1069.8"
"736.89","643.72","617.59","615.46","605.17","375.31","278.37","1516.5","1394.5","1214.9","1537.3","1274.6"
"681.99","717.16","661.92","627.48","613.82","394.41","335.69","1099","1363.8","1345.2","1628.9","1513.9"
"362.55","600.63","675.04","660.65","633.16","511.98","410.24","1005.7","1098.9","1273.2","1488","1531.2"
"286.48","384.99","556.35","641.33","650.72","468.24","485.81","1081.7","1113","1154.8","1475.5","1495.7"
"344.95","362.63","430.21","541.69","616.93","427.04","435.37","849.15","1001.6","1102.8","1380.9","1472.4"
"344.64","329.59","375.81","451.29","538.3","429.29","454.74","926.61","906.5","999.23","1221.8","1350.7"
"526.92","394.29","357.9","392.06","461.44","275.68","385.4","966.3","959.03","952.4","1119.6","1243.4"
"653.71","526.93","421.29","384.43","409.77","279.55","300.73","791.77","906.72","948.74","1011","1122.9"
"481.23","590.86","521.06","439.15","406.7","300.69","306.87","1083.6","861","892.46","954.92","1032.6"
"165.23","405.36","520.57","503.28","449.97","275.42","285.92","1416.1","1170.6","957.81","1080.5","992.42"
"326.74","252.4","384.15","476.75","483.43","362.11","301.25","1157.6","1259.8","1144.5","1306.5","1141"
"649.17","427.7","338.96","389.76","451.82","366.38","357.87","914.6","1112.3","1182.2","1286.2","1249.7"
"695.68","589.84","452.49","386.97","403.53","327.09","338.93","728.03","927.27","1080.7","1300.4","1263.1"
"1035.7","717.51","572.16","466.96","414.27","336","342.18","752.7","773.06","925.78","1401.3","1322.3"
"1051.6","1028.1","769.93","586.17","480.83","285.1","322.04","1005.8","840.99","834.41","1299.7","1365.3"
"749.25","881.6","910.82","766.09","604.39","358.74","303.31","1192.2","1007.2","887.27","1067.6","1247"
"912.44","863.97","873.9","849.61","743.07","510.07","396.36","1071.1","1133.2","1015.1","1093.9","1109.8"
"796.27","875.38","877.12","865.24","818.48","580.92","488.88","1099.5","1033.1","1060.8","1248.3","1161.8"
"681.99","771.72","847","868.49","851.67","572.15","561.19","1443.1","1216.7","1085","1241.6","1215.8"
"760.95","730.5","778.6","832.92","854.18","495.86","537.18","1289.6","1343.4","1223.9","1297.7","1244.6"
"636.25","748.34","757.79","787.62","825.45","531.09","514.86","914.28","1196.3","1271.7","1392.2","1309.4"
"390.65","575.85","706.33","759.66","792.83","641.09","554.73","768.13","935.31","1139.9","1616.3","1408.7"
"586.53","481.97","577.98","685.89","752.36","653.9","633.21","782.29","846.77","971.45","1569.5","1592"
"748.57","640.81","558.84","598.32","679.49","484.58","599.65","844.06","795.9","869.83","1144.2","1430.7"
