"Column1","Column2","Column3","Column4","Column5","Column6","Column7","Column8","Column9","Column10","Column11","Column12"
"2145.5","1801.1","1120.2","829.21","1436","709.55","588.58","953.93","1162.5","1457.9","2532.3","1510.4"
"1458.5","1684","1578.2","1190.9","1136.1","743.58","740.95","1170.9","1082.3","1222.8","2231.2","2110.1"
"1855.4","1667.9","1617.3","1462.5","1267.6","578.44","655.47","1560.3","1242.9","1166.1","1786.5","2055.6"
"1731.2","1810.6","1704.4","1585.2","1435.1","814.47","666.74","1902.9","1575.4","1314.3","1584.5","1787.6"
"1086.8","1569.3","1725.3","1683.3","1566.3","1093","852.46","1870.4","1811.2","1570.3","1828.1","1705"
"771.23","1106.4","1479.3","1651.2","1645","1290.7","1075.4","1958.8","1825.8","1733","2082.4","1888.2"
"1072.2","951.61","1162.7","1436","1591.4","1151.5","1214.2","2109.1","2010.7","1847","2064.6","2014"
"1216","1125.4","1073.5","1213.2","1416","921.02","1069.2","1840.2","1987.2","1962.6","2081.7","2045.7"
"1116.4","1127.7","1116.7","1136.6","1252.1","1040.6","998.85","1927.1","1873.6","1936.6","2120.6","2084.4"
"1102.6","1136.7","1126.3","1126.1","1171.9","1009.6","1048.2","2550.9","2076.1","1932.7","2052.8","2095.9"
"1293.9","1119","1119.9","1126.6","1142.2","890.11","963.51","2539.2","2496.1","2169.1","2138.8","2064.3"
"1528.6","1361.2","1187.7","1131.6","1130.9","993.73","943.58","2061.6","2311.6","2352.1","2633.7","2246"
"1352","1407.7","1329.9","1215.8","1152.5","972.58","990.72","2441.8","2227.2","2275.5","2804.1","2609.6"
"1345.6","1358.1","1364.5","1306.6","1224.3","873.73","936.06","2624.8","2490.8","2321.8","2520.7","2644.8"
"1461.7","1381","1362","1342.9","1291.8","840.6","892.02","2490.7","2501.1","2447.8","2704.8","2567.7"
"1457.6","1454","1399.2","1363.9","1331","851.76","846.76","2445.1","2513.1","2487.1","2869.9","2768.3"
"1598.1","1453.5","1430.5","1399.6","1363.3","955.14","885.83","2068","2362.7","2471.9","2620.5","2745.5"
"1859.3","1663.9","1502.7","1433.3","1395.9","1027.8","951.93","1946","2089.1","2312.6","2645.2","2648.9"
"1820.3","1778.4","1652.4","1525.2","1444.4","1096.1","1024.3","2088.6","2052.7","2142.8","2723.4","2685.5"
"1698.8","1783.6","1743.1","1640.3","1533.1","1132.4","1085","2334.7","2118.3","2095.3","2514.7","2670.8"
"1366.4","1640.3","1736.9","1713.1","1629.4","1085.5","1110.9","2761.9","2401.6","2185.8","2255.3","2470.6"
"1059.8","1349.9","1588.7","1692.7","1685.1","1002.7","1063.4","2966.5","2714.8","2426.9","2601.6","2375.6"
"1225.2","1165.2","1359.2","1555","1654.4","1089.3","1032.8","2677.8","2843.1","2675.3","3005.4","2707.6"
"1657.1","1349.4","1271","1384.7","1534.6","1123.4","1106.1","2372.4","2587.6","2716.6","2883","2865.8"
"1761.2","1610.5","1408","1342.6","1413.4","966.14","1065.5","2157.2","2434.7","2584.8","2896.7","2857.9"
"1830.6","1702.5","1572.5","1439.5","1391.5","1046.9","997.47","1865.6","2109.7","2391.3","2943","2921.3"
"1993.1","1855.9","1701.8","1564.2","1460.5","1146.4","1090.7","2192.2","2028.8","2159.4","3065","2930"
"1714.1","1899.1","1832.1","1696.9","1568.2","1208.2","1114.5","2594.8","2269.5","2135.1","2961.3","3070"
"1297.2","1627.5","1805.3","1791.8","1687.1","1258.7","1231.4","2462","2502.7","2310.3","2951.6","2888.7"
"1208.5","1367.7","1601.6","1743.8","1750.5","1075.8","1178.2","2379.6","2374.1","2401.8","3567.1","3163.7"
"1566.8","1327.9","1415.9","1588.3","1702","1181.5","1121.4","2369.6","2453.4","2406.1","3409.8","3431"
"1696.5","1606.5","1443.5","1466.7","1583.4","1355.3","1227.4","2201","2278.1","2390.2","2952.2","3239.1"
"1561.6","1563.7","1548.5","1492","1508.5","1301.5","1309.1","2701.4","2369.7","2320.3","2909.3","3040.2"
"2215.2","1722.7","1580","1533.9","1511.6","1131.9","1254.3","3186.2","2743.5","2457.5","2796.6","2928.2"
