"Column1","Column2","Column3","Column4","Column5","Column6","Column7","Column8","Column9","Column10","Column11","Column12"
"2110.9","1754.2","1086.4","806.5","1406.2","687.39","572.97","933.04","1136.4","1424.7","2478","1465.4"
"1454.8","1662.7","1534.5","1148.6","1109.4","727.03","717.65","1146.5","1060.1","1200","2199.8","2056.9"
"1847.6","1655.8","1591.7","1420.5","1226.9","565.07","641.33","1532.2","1214.7","1142.9","1768.9","2022.9"
"1731.9","1800.6","1685.9","1554.3","1394.1","786.7","648.3","1878.1","1542.2","1283.2","1563.8","1769.4"
"1098.3","1574.6","1716.4","1661","1532.1","1058.2","821.83","1847.4","1780.2","1533.6","1793.9","1682.4"
"779.55","1123.9","1488.7","1643.6","1621.1","1258.3","1038.5","1925.8","1797.9","1699","2043.2","1852.2"
"1069.3","961.97","1181.5","1447.1","1585","1135.5","1181.8","2072.6","1973.5","1812","2029.6","1975.3"
"1213.7","1123","1083.6","1231.2","1427","919.84","1055.6","1816.3","1954.7","1924.9","2044.9","2008.6"
"1116.7","1127.2","1118.3","1147.4","1268.7","1046","996.25","1911.1","1851.7","1906.3","2084.3","2046.5"
"1103.5","1136.2","1126.3","1130.6","1183.9","1020.8","1051.8","2534.1","2053.8","1908.2","2024","2061"
"1289.6","1119","1120.4","1128.2","1148.7","899.82","973.78","2540.7","2473.5","2140.2","2109.6","2034.7"
"1524.4","1352.7","1183.6","1131.5","1134.1","998.16","952.03","2075.2","2314.5","2332.1","2596.7","2210.4"
"1353.3","1403.7","1321.5","1209.7","1151.5","976.03","995.15","2443.3","2234.8","2274.7","2782.8","2569.8"
"1345.9","1358.3","1360.1","1298.4","1217.7","874.62","940.58","2626.7","2488.2","2321.9","2518.8","2623.7"
"1459.7","1380","1360.4","1337.7","1283.8","838.43","893.68","2494.9","2503.5","2445.4","2698.3","2560"
"1457.5","1451.3","1396.5","1360.5","1324.8","847.44","846.31","2448.7","2515.5","2487.2","2865.5","2756.9"
"1594.5","1452.3","1428.2","1395.9","1358.3","949.27","881.38","2074.5","2369.9","2475.1","2623.6","2742.2"
"1854.4","1656","1497.5","1429.5","1391.3","1022","945.47","1945.8","2099.3","2322.9","2649.4","2651.8"
"1819.2","1772","1642.9","1517.3","1438.3","1090.4","1017","2081.9","2053.9","2153.4","2731.3","2689.4"
"1700.9","1781.4","1735.3","1629.7","1523.2","1125.9","1077.5","2322.5","2112","2098.4","2526.5","2678.9"
"1373.2","1645","1734.8","1704.6","1617.7","1079.4","1103.6","2745.6","2384.6","2177.8","2262.5","2484.2"
"1067.1","1361.7","1596.1","1691.6","1676.4","997.81","1058.3","2953.5","2693.6","2407","2587.8","2381"
"1223.8","1175","1373.6","1564.4","1654.4","1083.7","1028.1","2676.4","2828.2","2651.4","2980.4","2689.3"
"1649.5","1345.8","1279.7","1399.4","1545.1","1123.5","1100.5","2372.2","2588.1","2703.3","2863.1","2842"
"1757.4","1600.6","1403.5","1350","1427.1","973.8","1067.1","2160.4","2436.8","2583.2","2884.3","2839.3"
"1827.4","1695.9","1562.8","1435.3","1397.7","1052.8","1004.2","1873.5","2120.9","2398.4","2939.6","2907.7"
"1989.6","1848.2","1691.5","1554.2","1456.6","1148.6","1093.6","2192.1","2036.7","2172.9","3067.9","2925.7"
"1718.6","1895.6","1821.9","1684.2","1557.5","1203.1","1115.3","2589.6","2265.8","2141.6","2973.4","3069.5"
"1305.5","1636.1","1803.9","1781.2","1673.2","1250.7","1224.1","2461.8","2495.1","2304.9","2953.9","2899.6"
"1212.6","1379.3","1611.8","1744","1740.6","1071","1173.1","2374.7","2373.9","2396.4","3356","3109.1"
"1561","1332.4","1428.7","1599.2","1703.1","1175.4","1117.1","2367.2","2447.5","2401.8","3335.3","3261.4"
"1694.2","1598.6","1445.6","1478.3","1593.9","1353.9","1220.8","2197.7","2279.3","2387.7","3129.4","3169.2"
"1561.7","1562.8","1544.5","1494","1518","1308.2","1307.1","2688","2362.2","2319.5","2972.3","3180.3"
"2203.1","1715.7","1576.6","1532","1514.7","1140.3","1259.9","3174.4","2725.3","2446.1","2817.7","3008.4"
"2503.2","2207.9","1814.8","1614.7","1542.9","994.67","1135.2","3202.7","3073.7","2743.2","2723.3","2845.5"
"1794","2221.5","2111.5","1843.8","1651.3","1140.2","1052.5","2931.9","3058","2968.6","3027","2818"
"1469.9","1759.6","2046.6","2022","1839.8","1403","1214.6","3132","2996.8","2997.1","3356.6","3088.9"
"1429.2","1629.4","1811.7","1962.6","1951","1575","1365.7","3934.6","3287.2","3055.9","3262.6","3244.2"
"1023.3","1347.2","1620.6","1813.6","1916.4","1688","1566.5","3797.6","3828.8","3389.8","3297","3245.3"
"890.58","1101.3","1364.7","1613.4","1794.3","1463.1","1585.1","2987.1","3470.7","3602.3","3330.2","3298.4"
"1362.8","1018.3","1145.6","1383.8","1609.7","1264.2","1436.3","2971.7","3160.8","3408.5","3323.2","3221.4"
"2069","1519.7","1193.2","1218.2","1405.3","1173.4","1296.4","2813.2","3001.2","3200.5","3311.1","3223.1"
"2286.8","1920.9","1534.4","1298.3","1293.1","1088.3","1192.7","2774.4","2841.3","3019.9","3297.5","3154.7"
"2077.4","2176.1","1879.1","1554.6","1366.5","1033.1","1105.4","2676.7","2809.7","2895.4","3291.4","3392.1"
"1855.9","1952.7","2013.4","1825.3","1573.4","1092.6","1066.5","2607.5","2651","2792.7","3298.3","3281.5"
"1967.7","1990.7","1975.4","1931.2","1776.4","1200.3","1121.5","2851.2","2715.7","2708.2","3296.6","3287"
"1732.2","1872.7","1960.1","1960.9","1887.1","1382.7","1206.9","2706","2789.1","2744.7","3297.6","3333.9"
"1829","1805.6","1874.9","1935.1","1930.8","1586.3","1400.4","2330.6","2623.1","2736.7","3301","3313.6"
"1556","1796.5","1837.6","1881.8","1917.2","1442.4","1500.9","2331.5","2386.2","2583.9","3302.6","3317.1"
"1597.7","1543.1","1729","1832","1882","1231.4","1382.7","2952.1","2503.6","2464.4","3303.4","3296.4"
"2046","1786.9","1662.4","1728.4","1819","1290.1","1287.4","3213.7","2953.2","2625.8","3285.6","3307.5"
"1833.9","1890.3","1791.4","1723.6","1751","1286.7","1313.1","3118.1","3045.4","2879.6","3196.2","3401.1"
"1748.5","1813.6","1834.6","1787.1","1752.5","1166.3","1247.3","3279.7","3163","3016.9","3096.4","3239.1"
"1781.8","1783.2","1808.3","1810.6","1784.7","1104.3","1185.4","2962","3181.5","3132.9","3229.4","3160"
"1687.7","1769.7","1791.4","1803.4","1799.9","991.05","1096","2645.6","2902.8","3088.1","3335.8","3257.5"
"1580.4","1668.7","1749.4","1786.7","1798.3","952.61","1010.7","2452","2714.5","2910.2","3321.2","3126.8"
"1923.8","1670.8","1682","1740.8","1778.9","1086.1","996.29","2302.4","2453","2704.4","3306.3","3306.5"
"2584.8","2035.9","1764.8","1712.4","1741.2","1098.6","1093.5","2271.1","2389.4","2517.6","3306.6","3314"
"2532","2464.5","2086.1","1831.6","1746.8","1031.3","1045.4","2441.4","2283.6","2394.4","3291.2","3264.5"
"2471.6","2384.8","2315.3","2082.3","1874.7","1220.4","1095.4","3005.7","2591.8","2395.6","3307.9","3392.1"
"2502.6","2564.3","2411.8","2254.9","2064.9","1532.4","1248.5","3310.9","2938.5","2627.9","3296.4","3385.6"
"2027","2316.5","2456.2","2385.6","2229.4","1782.8","1538.5","3162.1","3212.4","2927","3045.6","3256.5"
"2324.9","2192.9","2307.6","2388.4","2340.1","1737.2","1683.6","3160.6","3068","3070.3","3234.7","3143.3"
"2048.5","2303.9","2279","2316.9","2348.8","1631.5","1693.7","3420.6","3299.8","3127.2","3335.9","3256.9"
"1824.6","1937.4","2190.6","2284.2","2319.8","1563.6","1619.5","2875.2","3211.3","3239.3","3329.2","3305.6"
"2560.3","2112.5","2043.8","2164.6","2265.1","1571.5","1592.3","2888.8","2928.7","3127.1","3323.6","3240"
"2936.6","2524.1","2210.4","2121.3","2176.6","1544.1","1566.9","3694.7","3115.7","3020.7","3313.3","3232.4"
"3556.6","2926.8","2523.4","2267.4","2174.7","1430.1","1535","4461.1","3750.3","3258.5","3309.4","3357.4"
"3436","3455.4","2963.5","2552.9","2310.6","1473","1439.5","4483.4","4275.6","3754.8","3307.5","3190.9"
"2218.7","3046.2","3210.5","2925","2580.2","1791.1","1567.4","3905.5","4251.8","4115.4","3304.2","3422.3"
"1863.3","2335","2880.8","3036.7","2859.2","2053.5","1783.4","3555.3","3882.6","3990.4","3317.6","3391.1"
"2161.2","2113.9","2433.5","2793.9","2915.6","2105.6","2008.7","3911.2","3730.8","3958","3323.8","3345.8"
"2658.1","2267.8","2254.5","2491","2742.4","1969.5","2011.7","4278.6","4006.5","3882.4","3315","3102.5"
"2939.2","2659.9","2380","2358.7","2527.7","1954.4","1985","4306.4","4173.4","4021.2","3291.8","3148.5"
"2678.5","2769.5","2613.9","2446.5","2435.1","1863.3","1942.9","4372.1","4294.8","3468.9","3278","3221.4"
"2724.3","2675.6","2683.1","2585.6","2486.4","1707","1850.8","4449.4","4346.1","3557.9","3273","3258.3"
"2846.1","2790.8","2707.7","2650.3","2572.6","1801.1","1745.7","4380.8","4437","3262.8","3261.4","3043.6"
"2423.3","2719","2758.8","2707.6","2639.4","1948.6","1865.6","4103.7","4296.3","2963.5","3243.6","3221.4"
"2020","2386.1","2641.1","2718.2","2692.7","1866.3","1877.2","4116.4","4165","3326.8","3242.6","3258.3"
"2089.5","2132.8","2386.4","2595.2","2680.5","1949.9","1893.5","4023.8","4131.1","3318.3","3239.6","3152.9"
"2579.9","2236.1","2231.8","2402","2567.7","2031.1","1954.8","3985.8","4014.3","3725.9","3228.9","3143.6"
"2742.1","2566.6","2336.3","2308.4","2423","1913.7","1994.1","4045.2","4044.1","3170.7","3216.6","3097.9"
"2640.9","2613.9","2510.7","2384.6","2364.8","1698.8","1863.3","4009.3","4008.7","2580","3212.3","3313.2"
"2477.8","2635.4","2589.9","2491.4","2410.5","1558.2","1725.3","4146.5","4012.8","3119.1","3211.8","3038.6"
"2463","2446.5","2560.9","2557.3","2486.6","1431.8","1566.8","3739.4","3921.1","3251","3203.2","3302"
"3283.5","2683.8","2524.8","2536.4","2528.6","1455.1","1482","3054.7","3713.8","3243.9","3203.1","3043.6"
"3265.5","3198.3","2798.2","2591.8","2539","1670.2","1506.3","3221.3","3287","2729.9","3190.2","3175.9"
"2539.8","2966.6","3022.1","2815.3","2636.2","1986.1","1717.3","3691.4","3418.3","3155.9","3191.4","3240"
"2516.5","2661.8","2882.4","2918.9","2795.7","1903.3","1908.9","3985.9","3637.7","3256.3","3196.4","3222.3"
"2476.3","2584.4","2712.4","2839.9","2857.9","1589.3","1792.9","4039.4","3614.1","2648.8","3195.3","3132"
"2695.4","2509.6","2596.7","2723.2","2811.9","1777.8","1653.3","4177.6","3483.7","2317.7","3192","3223.9"
"3227.7","2826.9","2618.1","2631.5","2722.8","2133.7","1772.9","4742.3","3369.3","2853.7","3194.1","3186"
"3246.2","3113.1","2850.7","2686.7","2670.1","2043.2","2117.6","4759.1","3302.6","2741.9","3191.8","3156.9"
"3019.8","3140.2","3042.2","2857.2","2728.9","1978","2019.3","4582.3","3238","2791.2","3197.9","3381.2"
"3077.7","3031.5","3068.2","2993.4","2857.5","2068.9","1805.5","4419.1","3168.1","2429.8","3206.8","3097.9"
"3309.7","3163.3","3074.7","3036.8","2961.1","2019.2","2191","4266.2","3100.2","2867.7","3200.3","3240"
"2946.8","3191.9","3159.2","3087.1","3022.6","1935.5","2061.1","4126.2","3090.8","3268.3","3202.6","3186"
"2543.7","2871.4","3094.4","3129.2","3081.3","1902.6","1956","4003.6","3106.5","3147.9","3198.1","3132"
"2793.2","2695.9","2877.5","3043","3094.6","2178.6","1977.9","3896.2","3082.5","2518.1","3187.9","3082.2"
"3357.6","2926.3","2808.7","2900.3","3016.6","2478.7","2025.2","3796","3016.6","2549.1","3182.2","3231.7"
"3217.7","3258.4","3001.3","2886.6","2926.4","2288.6","2493.9","3700.9","2981.8","3006.1","3195.5","3393.1"
"3010.1","3067.2","3121.1","3014.7","2936.9","1999","2248.4","3615.3","2984.5","3002.3","3208.9","3172.5"
"3720","3238.6","3106.1","3071.1","3009.1","1806","1565.5","3539.4","2953.2","2273","3197.3","3014.2"
"4171.7","3718.8","3331.7","3145.2","3063.8","1578","2119","3465.6","2868.7","2199.1","3184.6","3213"
"3949.8","3995.2","3687.6","3372.2","3175.5","1469.2","1416.2","3391.2","2813.5","2737.4","3183.8","3121"
"3543.6","3813","3848.6","3642.4","3386.5","1602.4","1647.4","3321.7","2795.6","2545.9","3180.2","3206.8"
"3145.8","3560.4","3756.2","3756.6","3596.7","2063.6","1022.7","3257","2738.7","1955","3184.1","3222.3"
"2730.4","3126","3504.4","3693.1","3691.1","2123.6","1719.8","3191.1","2661.6","2310.2","3188.7","3223.1"
"3081.5","2921.8","3172.3","3469.2","3633.4","2003.7","1595.8","3126.8","2660.8","3206.4","3189.4","3148.5"
"2961.3","3115.8","3074.5","3229","3450.2","2200.4","1544","3074.3","2725.8","3204.1","3180.7","3066.1"
"2464.3","2769.8","3016.4","3128.6","3273.2","2273.5","1806.7","3034.8","2753.3","2560.7","3175.4","3248.4"
"2945.1","2700.1","2806.3","2989","3143.5","2161.8","1944.4","2999.8","2712.6","2174.8","3183.4","3231.7"
"3368.8","3007.3","2819.3","2858.2","2998.5","2387.3","2021.5","2963.5","2695.3","3196.6","3186.3","3169.2"
"3836.1","3343.9","3035.5","2890.8","2907.4","2364.1","1513.4","2933.6","2718.4","2396.5","3187.9","3248.9"
"4064.3","3803.8","3377.2","3076.4","2943.2","1856.4","1482.4","2906.3","2691.1","2639.1","3188.5","3105"
"4187.6","3933.8","3698.2","3377","2695.7","1445.5","1187.1","2879.7","2654.3","1972.5","3185.2","3248.4"
"4209.4","4207.9","3936.8","3650.7","3639.2","1555.4","832.33","2849.7","2603.6","2637.7","3195","3299.1"
"3582.3","3988.7","4073.9","3894.8","3722.4","2073.8","1635.4","2820.6","2614.8","2794.6","3208.1","3313.6"
"3784.5","3715","3917.2","3974.2","3870.1","2309.4","1429.3","2797.1","2635.5","2779.2","3216.5","3222.3"
"3728.3","3862.9","3831.4","3896.6","3916.6","2569.7","1312.3","2778.8","2659.2","2920.4","3216.4","3205.2"
"3370.3","3568.4","3777.4","3852.9","3889.8","2428.2","1247.3","2765.4","2664.5","2358.3","3216.2","3230.8"
"3751.8","3574.2","3620.7","3750.3","3839.9","2328","2129.3","2751.3","2612.3","2016.4","3213.9","3142.6"
"3939.5","3744.7","3639.8","3663.5","3751.1","2261.3","1196.1","2731.6","2548.2","2167","3203.7","3105"
"4334","3958.1","3762.6","3680.3","3693.8","2138.4","1285.2","2708.1","2529.3","2745.4","3195.8","3188.6"
"4737.8","4353.3","4002.1","3794.9","3712.6","2034.6","1242.6","2687.7","2542.6","2474.4","3200","3299.1"
"4710.9","4613","4320.4","4024.3","3827.9","1955.6","1577.4","2670.3","2548.7","2784.5","3200.5","3053.8"
"4836.5","4670.3","4526.2","4285.6","4034.2","1880.3","922.05","2656.8","2560.7","2433","3187.1","3142.6"
"5007.2","4860.3","4673.8","4481.9","3283.2","1793.5","1518.7","2644.4","2533.9","2181.3","3177.6","3051"
"4571.8","4892.1","4823.8","4654.2","5064.9","1743.1","1136.5","2629.4","2497.4","2301.2","3169.7","3206.8"
"3886.8","4423.3","4748.5","4763.4","4671.6","1703.1","1840.7","2612.6","2476.7","2360.1","3170.6","3132"
"3499.9","4001.7","4408.8","4658.2","4174.4","1706.6","1559.2","2596","2476.1","2650.5","3178.2","3397.5"
"3194.3","3528.9","4001.8","4382.2","4441.6","1662.7","988","2581.9","2462","1890.5","3202.8","3362.7"
"3869.9","3447.4","3634.3","4016","4239.1","1601.6","1408.9","2564.4","2393.6","1886.4","3214.5","3203.4"
"4796.3","4035.7","3663.7","3747.2","4011.4","1572.5","1275.6","2541.6","2353.7","2334.8","3214.1","3222.3"
"4441.2","4543.9","4092.5","3809.5","3375","1548.6","1525.4","2519.3","2361.7","2557.9","3215.1","3223.9"
"3329.5","4109.9","4299","4086.8","4304.1","1564.6","1933","2502.1","2406.3","3019.5","3213.8","3172.5"
"3706.2","3563.5","3976.4","4147.8","4262.4","1580.7","1327.6","2494","2475","2922.6","3208.9","3172.5"
"4441.8","4006","3811.5","3954","4624.7","1553.2","1387.3","2494","2516.7","2668.2","3208.8","3265.7"
"3971.2","4153.4","4015.5","3922","3970.8","1504.8","763.93","2497.1","2512.5","2183.8","3212.6","3199.7"
"3455.7","3885.2","4039.7","4005","3624.1","1454.2","1585.4","2497.7","2503.8","2848","3210.5","3188.6"
