"Column1","Column2","Column3","Column4","Column5","Column6","Column7","Column8","Column9","Column10","Column11","Column12"
"2155.5","1814.8","1130.1","835.89","1444.7","716.07","593.18","960.03","1170.2","1467.6","2548.1","1523.6"
"1459.4","1690","1591","1203.3","1144","748.38","747.81","1178","1088.8","1229.4","2240.3","2125.6"
"1857.6","1671.2","1624.5","1474.6","1279.6","582.39","659.56","1568.5","1251.2","1172.9","1791.6","2065"
"1730.9","1813.4","1709.6","1593.8","1446.9","822.65","672.2","1910.1","1585.1","1323.5","1590.5","1792.7"
"1083.4","1567.5","1727.6","1689.5","1575.9","1103.1","861.47","1877.2","1820.2","1580.9","1838.2","1711.6"
"768.87","1101.3","1476.3","1653","1651.5","1299.8","1086.1","1968.6","1833.9","1742.8","2093.8","1898.8"
"1073.1","948.69","1157.2","1432.4","1592.8","1155.8","1223.3","2119.7","2021.6","1857.2","2074.8","2025.3"
"1216.7","1126.2","1070.7","1207.9","1412.3","921.01","1072.7","1846.8","1996.5","1973.5","2092.5","2056.4"
"1116.3","1127.9","1116.4","1133.5","1247.2","1038.7","999.15","1931.3","1879.6","1945.2","2131","2095.4"
"1102.4","1136.9","1126.3","1124.9","1168.5","1006.1","1046.8","2555.3","2082.1","1939.5","2060.9","2105.9"
"1295.2","1119","1119.8","1126.2","1140.4","887.32","960.31","2538.2","2502.1","2177.1","2146.9","2072.6"
"1529.8","1363.7","1188.9","1131.6","1130","992.55","941.12","2057.4","2310.1","2357.3","2643.9","2256"
"1351.6","1408.8","1332.4","1217.7","1152.9","971.68","989.53","2441.4","2224.7","2275.1","2809.5","2620.6"
"1345.5","1358","1365.8","1308.9","1226.3","873.58","934.85","2624.3","2491.5","2321.5","2520.6","2650.1"
"1462.3","1381.3","1362.4","1344.4","1294.1","841.32","891.68","2489.6","2500.4","2448.4","2706.3","2569.2"
"1457.6","1454.8","1399.9","1364.8","1332.7","853.05","847","2444.2","2512.5","2487","2870.9","2771.2"
"1599.2","1453.8","1431.2","1400.6","1364.7","956.82","887.19","2066.2","2360.7","2471","2619.5","2746.1"
"1860.7","1666.3","1504.2","1434.3","1397.2","1029.4","953.81","1946.2","2086.2","2309.7","2644","2647.9"
"1820.6","1780.2","1655.1","1527.5","1446.1","1097.7","1026.4","2090.6","2052.5","2139.9","2721.1","2684.3"
"1698.2","1784.2","1745.3","1643.4","1536","1134.2","1087.1","2338.2","2120.3","2094.6","2511.4","2668.4"
"1364.5","1638.9","1737.3","1715.4","1632.8","1087.2","1113","2766.5","2406.6","2188.4","2253.5","2466.8"
"1057.7","1346.5","1586.4","1692.9","1687.5","1004.1","1064.9","2970.2","2720.9","2432.8","2605.9","2374.3"
"1225.6","1162.5","1354.9","1552.1","1654.2","1090.9","1034.1","2678.1","2847.3","2682.2","3012.9","2713.2"
"1659.3","1350.5","1268.6","1380.4","1531.4","1123.2","1107.6","2372.4","2587.3","2720.3","2888.8","2872.8"
