Link1,Link2,Link3,Link4,Link5,Link6,Link7,Link8,Link9,Link10,Link11,Link12
2.465753425,3.970588235,5.217391304,1.445783133,1.578947368,0,1.125,5.538461538,2.465753425,4.186046512,12.63157895,6.461538462
7.2,8.181818182,1.846153846,3.243243243,1.348314607,0.714285714,0,3.529411765,4.166666667,1.481481481,0,4.109589041
3.214285714,9,2.105263158,3.636363636,3.896103896,1.411764706,1.216216216,1.846153846,3.38028169,3.658536585,7.894736842,1.904761905
3.253012048,4.736842105,4.761904762,0,2.608695652,2.337662338,1.818181818,2.903225806,2.168674699,3.846153846,0,6.268656716
0.989010989,4.655172414,2.465753425,4.6875,0,0.833333333,4.615384615,4.363636364,0.857142857,1.894736842,13.63636364,3.582089552
3.068181818,4.655172414,2.432432432,4.47761194,3.846153846,0.625,0,6.545454545,5,0.722891566,7.692307692,3.333333333
3.292682927,15,1.538461538,2.368421053,5,1.6,0.918367347,5,2.465753425,4.390243902,0,2.535211268
3.103448276,8,2.857142857,1.538461538,1.558441558,2.535211268,2.25,5,5.373134328,2.278481013,0,2.686567164
3.75,4.390243902,4.347826087,1.846153846,1.463414634,0,3.375,3.75,5,5.070422535,0,5.294117647
4.04494382,10.38461538,0.869565217,2.5,2.432432432,0.810810811,0,4.761904762,3.896103896,4.88372093,4.528301887,2.5
1.153846154,5.901639344,4.347826087,2.608695652,2.857142857,1.621621622,1.153846154,2.857142857,1.621621622,1.318681319,5.070422535,4
9.87804878,9.642857143,1.071428571,5.454545455,0.833333333,2.093023256,2.465753425,0.967741935,3.529411765,3.287671233,5.806451613,11.78571429
3.333333333,9.402985075,2.571428571,1.034482759,4.736842105,1.034482759,2.967032967,2.608695652,0.697674419,2.4,7.5,1.578947368
3.253012048,5.294117647,8,2.647058824,0,4,1.304347826,3.75,1.935483871,1.518987342,4.705882353,2.647058824
4.337349398,5.4,1.791044776,5.217391304,3.243243243,0,6.617647059,6.101694915,3.428571429,0.769230769,0.769230769,3.214285714
2.523364486,8.035714286,4.347826087,3.529411765,4.444444444,2.142857143,1.097560976,4.761904762,5.454545455,3.797468354,0.821917808,1.904761905
2.647058824,2.02247191,4.054054054,2.4,3.287671233,3.75,4,6.885245902,5.294117647,4.285714286,3.703703704,0.895522388
