Link1,Link2,Link3,Link4,Link5,Link6,Link7,Link8,Link9,Link10,Link11,Link12
73,68,69,83,76,0,80,65,73,86,19,65
75,11,65,74,89,84,0,51,72,81,0,73
84,60,57,66,77,85,74,65,71,82,38,63
83,57,63,0,69,77,99,62,83,78,0,67
91,58,73,64,0,72,78,55,70,95,22,67
88,58,74,67,78,96,0,55,72,83,39,72
82,6,78,76,72,75,98,60,73,82,0,71
87,45,63,78,77,71,80,60,67,79,0,67
72,41,69,65,82,0,80,64,72,71,0,68
89,26,69,72,74,74,0,63,77,86,53,72
78,61,69,69,84,74,78,63,74,91,71,60
82,28,56,66,72,86,73,62,68,73,31,56
81,67,70,58,76,58,91,46,86,75,40,76
83,51,60,68,0,75,69,64,62,79,51,68
83,50,67,69,74,0,68,59,70,78,78,56
107,56,69,68,81,84,82,63,77,79,73,63
102,89,74,75,73,80,90,61,68,84,81,67
78,88,74,80,82,73,79,60,81,76,87,68
89,45,69,86,81,79,89,68,72,87,47,67
0,64,67,78,85,83,89,62,76,76,37,65
86,0,78,64,94,86,100,62,74,87,36,71
97,38,86,78,78,103,81,64,73,78,65,63
92,95,74,83,68,86,81,58,80,85,64,55
91,23,0,76,96,68,78,62,74,77,75,66
85,39,71,74,79,92,85,63,72,95,47,74
84,50,74,81,105,85,82,57,82,78,39,64
73,59,68,70,83,107,81,59,70,88,60,0
73,64,68,73,73,83,90,65,76,80,74,63
74,50,68,64,83,68,83,64,91,80,61,62
92,51,56,72,68,79,83,58,72,102,78,55
59,37,63,66,72,79,70,68,86,94,43,74
94,58,59,73,69,77,79,64,77,87,62,76
89,64,70,65,70,77,86,67,74,82,75,72
80,59,69,61,57,79,78,54,78,89,72,67
86,34,71,67,70,70,85,74,65,84,75,70
55,50,69,74,73,57,81,55,76,81,74,73
92,46,64,68,83,84,65,65,69,74,94,67
90,61,69,70,71,81,92,74,71,78,67,69
96,55,63,69,76,86,90,59,79,72,63,67
65,21,68,68,75,84,96,54,80,106,66,57
77,70,67,66,82,71,84,57,66,86,59,63
89,29,70,70,43,89,78,65,75,79,57,61
