"Column1","Column2","Column3","Column4","Column5","Column6","Column7","Column8","Column9","Column10","Column11","Column12"
"66","66","66","66","66","66","66","66","66","66","66","66"
"66","66","66","66","66","66","66","66","66","66","66","66"
"66","66","66","66","66","66","66","66","66","66","66","66"
"66","66","66","66","66","66","66","66","66","66","66","66"
"66","66","66","66","66","66","66","66","66","66","66","66"
"66","66","66","66","66","66","66","66","66","66","66","66"
"66","66","66","66","66","66","66","66","66","66","66","66"
"66","66","66","66","66","66","66","66","66","66","66","66"
"66","66","66","66","66","66","66","66","66","66","66","66"
"66","66","66","66","66","66","66","66","66","66","66","66"
"66","66","66","66","66","66","66","66","66","66","66","66"
"66","66","66","66","66","66","66","66","66","66","66","66"
"66","66","66","66","66","66","66","66","66","66","66","66"
"66","66","66","66","66","66","66","66","66","66","66","66"
"66","66","66","66","66","66","66","66","66","66","66","66"
"66","66","66","66","66","66","66","66","66","66","66","66"
"66","66","66","66","66","66","66","66","66","66","66","66"
"66","66","66","66","66","66","66","66","66","66","66","66"
"66","66","66","66","66","66","66","66","66","66","66","66"
"66","66","66","66","66","66","66","66","66","66","66","66"
"66","66","66","66","66","66","66","66","66","66","66","66"
"66","66","66","66","66","66","66","66","66","66","66","66"
"66","66","66","66","66","66","66","66","66","66","66","66"
"66","66","66","66","66","66","66","66","66","66","66","66"
"66","66","66","66","66","66","66","66","66","66","66","66"
"66","66","66","66","66","66","66","66","66","66","66","66"
"66","66","66","66","66","66","66","66","66","66","66","66"
"66","66","66","66","66","66","66","66","66","66","66","66"
"66","66","66","66","66","66","66","66","66","66","66","66"
"66","66","66","66","66","66","66","66","66","66","60.306","66"
"66","66","66","66","66","66","66","66","66","66","59.181","66"
"66","66","66","66","66","66","66","66","66","66","66","63.43"
"66","66","66","66","66","66","66","66","66","66","66","65.892"
"66","66","66","66","66","66","66","66","66","66","66","66"
"66","66","66","66","66","66","66","66","66","66","66","66"
"66","66","66","66","66","66","66","66","66","66","66","66"
"66","66","66","66","66","66","66","66","66","66","65.833","66"
"66","66","66","66","66","66","66","66","66","66","65.873","66"
"66","66","66","66","66","66","66","66","66","66","61.39","66"
"66","66","66","66","66","66","66","66","66","66","50.53","66"
"66","66","66","66","66","66","66","66","66","66","48.247","63.473"
"66","66","66","66","66","66","66","66","66","66","47.992","61.872"
"66","66","66","66","66","66","66","66","66","66","48.177","58.851"
"66","66","66","66","66","66","66","66","66","66","47.774","62.482"
"66","66","66","66","66","66","66","66","66","66","47.924","61.313"
"66","66","66","66","66","66","66","66","66","66","47.326","61.192"
"66","66","66","66","66","66","66","66","66","66","46.052","62.196"
"66","66","66","66","66","66","66","66","66","66","46.376","62.257"
"66","66","66","66","66","66","66","66","66","66","49.96","62.541"
"66","66","66","66","66","66","66","66","66","66","56.702","62.252"
"66","66","66","66","66","66","66","66","66","66","65.565","62.445"
"66","66","66","66","66","66","66","66","66","66","66","65.869"
"66","66","66","66","66","66","66","66","66","66","66","66"
"66","66","66","66","66","66","66","66","66","66","65.756","66"
